student_id,gender,age,degree,branch,cgpa,backlogs,internships,certifications,coding_skills,communication_skills,aptitude_score,projects,placed,company_type,package_lpa,overall_skill_score,academic_performance_index,profile_strength,profile_development_score
1,Male,20,BE,Mechanical,8.4,2,2,2,1,3,69,0,0,,0.0,24.333333333333332,74.0,4,4
2,Female,20,BTech,Electrical,8.6,2,0,5,1,9,81,4,0,,0.0,30.333333333333332,76.0,9,9
3,Male,22,BCA,Electrical,6.62,3,0,1,1,7,50,1,0,,0.0,19.333333333333332,51.2,2,2
4,Male,24,BCA,DS,8.01,0,0,4,4,7,47,4,0,,0.0,19.333333333333332,80.1,8,8
5,Male,24,BCA,Electrical,9.12,2,1,2,4,4,77,4,0,,0.0,28.333333333333332,81.19999999999999,7,7
6,Female,22,BSc,CS,6.77,1,3,4,8,1,67,2,1,Service,13.15,25.333333333333332,62.69999999999999,9,9
7,Male,23,BSc,CS,9.36,1,0,4,5,8,51,4,0,,0.0,21.333333333333332,88.6,8,8
8,Male,20,BSc,CS,8.17,2,0,2,10,10,84,3,1,Product,8.98,34.666666666666664,71.7,5,5
9,Male,20,BSc,IT,7.32,3,3,4,4,9,73,3,0,,0.0,28.666666666666668,58.2,10,10
10,Female,22,BE,CS,8.18,3,0,3,8,4,70,4,1,Service,13.4,27.333333333333332,66.8,7,7
11,Male,22,BE,CS,7.23,3,2,1,7,1,94,4,1,Startup,4.16,34.0,57.30000000000001,7,7
12,Male,23,BCA,DS,9.1,2,0,0,6,9,60,3,1,Product,7.27,25.0,81.0,3,3
13,Male,24,BSc,Mechanical,7.57,3,0,1,2,5,55,1,0,,0.0,20.666666666666668,60.7,2,2
14,Male,21,BCA,Mechanical,9.38,3,1,0,5,6,63,0,1,Product,6.64,24.666666666666668,78.80000000000001,1,1
15,Female,24,BTech,CS,7.69,1,1,3,2,2,61,3,0,,0.0,21.666666666666668,71.9,7,7
16,Male,20,BSc,CS,8.34,0,2,1,6,5,97,2,1,Startup,6.61,36.0,83.4,5,5
17,Female,22,BSc,CS,9.79,1,3,3,9,1,52,3,0,,0.0,20.666666666666668,92.89999999999999,9,9
18,Female,23,BCA,Electrical,6.13,2,2,2,9,3,48,0,0,,0.0,20.0,51.3,4,4
19,Female,24,BCA,DS,8.67,1,3,0,6,1,84,3,1,Product,9.24,30.333333333333332,81.7,6,6
20,Male,23,BTech,DS,6.1,0,0,2,4,1,86,5,0,,0.0,30.333333333333332,61.0,7,7
21,Female,24,BCA,DS,9.11,1,1,2,10,9,47,0,0,,0.0,22.0,86.1,3,3
22,Male,20,BSc,Mechanical,8.06,3,2,1,9,6,62,1,1,Startup,12.58,25.666666666666668,65.60000000000001,4,4
23,Female,21,BE,IT,9.53,0,2,4,5,8,88,1,1,Product,6.63,33.666666666666664,95.3,7,7
24,Female,23,BTech,Mechanical,9.22,2,1,4,8,5,49,4,0,,0.0,20.666666666666668,82.2,9,9
25,Female,23,BTech,DS,5.82,1,3,3,9,9,80,1,0,,0.0,32.666666666666664,53.2,7,7
26,Female,21,BSc,AI,6.09,1,0,1,5,4,95,3,0,,0.0,34.666666666666664,55.9,4,4
27,Female,23,BE,IT,8.09,3,3,2,6,10,56,2,0,,0.0,24.0,65.9,7,7
28,Female,23,BCA,CS,7.73,0,1,5,4,8,68,3,0,,0.0,26.666666666666668,77.30000000000001,9,9
29,Female,24,BCA,Electrical,6.22,3,0,3,1,6,88,1,0,,0.0,31.666666666666668,47.199999999999996,4,4
30,Female,24,BE,Mechanical,6.06,1,3,2,1,10,90,2,0,,0.0,33.666666666666664,55.599999999999994,7,7
31,Male,21,BE,Electrical,7.93,1,0,3,5,5,90,1,1,Product,9.56,33.333333333333336,74.3,4,4
32,Male,20,BSc,IT,5.71,0,1,5,3,5,41,0,0,,0.0,16.333333333333332,57.1,6,6
33,Female,23,BCA,AI,9.26,1,0,0,7,3,50,3,0,,0.0,20.0,87.6,3,3
34,Female,20,BSc,IT,8.97,0,2,3,4,4,47,2,0,,0.0,18.333333333333332,89.7,7,7
35,Female,21,BCA,Mechanical,8.88,2,1,3,4,10,60,5,0,,0.0,24.666666666666668,78.80000000000001,9,9
36,Male,21,BCA,DS,5.57,1,2,2,4,5,88,4,0,,0.0,32.333333333333336,50.7,8,8
37,Female,24,BE,CS,5.7,0,0,4,6,9,72,2,0,,0.0,29.0,57.0,6,6
38,Male,23,BSc,DS,7.86,0,3,2,9,10,89,2,1,Startup,11.08,36.0,78.60000000000001,7,7
39,Male,22,BE,DS,9.78,3,0,1,9,3,46,5,0,,0.0,19.333333333333332,82.8,6,6
40,Male,21,BSc,Mechanical,6.97,1,1,2,5,5,80,5,1,Service,14.96,30.0,64.7,8,8
41,Male,23,BCA,DS,6.98,3,1,5,8,9,64,2,1,Product,10.64,27.0,54.80000000000001,8,8
42,Male,20,BTech,DS,6.08,0,0,4,4,1,48,4,0,,0.0,17.666666666666668,60.8,8,8
43,Female,24,BTech,Mechanical,8.4,2,3,1,8,5,81,2,1,Service,8.43,31.333333333333332,74.0,6,6
44,Female,20,BSc,Mechanical,8.28,2,1,5,10,4,87,3,1,Service,5.81,33.666666666666664,72.8,9,9
45,Female,21,BSc,AI,5.94,1,0,4,9,1,82,2,0,,0.0,30.666666666666668,54.400000000000006,6,6
46,Female,21,BE,DS,7.51,2,3,1,8,1,77,1,1,Startup,11.8,28.666666666666668,65.1,5,5
47,Female,20,BCA,IT,8.37,1,2,2,8,7,66,2,1,Service,6.05,27.0,78.69999999999999,6,6
48,Male,21,BTech,CS,7.62,1,1,4,9,6,83,2,1,Service,13.14,32.666666666666664,71.2,7,7
49,Female,23,BE,Electrical,8.4,0,2,5,10,1,92,4,1,Service,5.53,34.333333333333336,84.0,11,11
50,Female,21,BSc,CS,9.01,0,1,5,8,4,99,0,1,Startup,13.3,37.0,90.1,6,6
51,Male,24,BCA,Mechanical,8.45,0,2,4,4,7,49,4,0,,0.0,20.0,84.5,10,10
52,Female,23,BE,Electrical,8.15,3,0,5,5,6,87,4,1,Service,13.05,32.666666666666664,66.5,9,9
53,Male,22,BE,Mechanical,9.17,0,3,5,10,10,65,2,1,Product,8.0,28.333333333333332,91.7,10,10
54,Female,21,BSc,AI,9.37,1,0,0,6,2,66,5,1,Service,6.86,24.666666666666668,88.69999999999999,5,5
55,Male,21,BCA,DS,7.17,0,0,0,5,9,95,0,1,Service,11.37,36.333333333333336,71.7,0,0
56,Female,24,BTech,Mechanical,6.24,3,0,3,9,10,61,4,0,,0.0,26.666666666666668,47.400000000000006,7,7
57,Female,24,BE,Mechanical,9.02,0,1,0,2,3,95,1,0,,0.0,33.333333333333336,90.19999999999999,2,2
58,Male,20,BSc,CS,6.42,2,2,4,6,2,85,0,0,,0.0,31.0,54.2,6,6
59,Male,20,BE,DS,9.49,1,1,3,10,1,88,5,1,Service,8.15,33.0,89.9,9,9
60,Male,20,BSc,AI,5.6,2,1,2,2,3,59,4,0,,0.0,21.333333333333332,46.0,7,7
61,Male,24,BSc,Mechanical,9.46,2,3,3,8,6,65,2,1,Startup,9.68,26.333333333333332,84.60000000000001,8,8
62,Male,20,BSc,Mechanical,8.03,3,0,5,8,10,76,5,1,Product,10.15,31.333333333333332,65.3,10,10
63,Male,20,BCA,Mechanical,8.83,2,1,1,5,1,75,1,1,Product,14.62,27.0,78.3,3,3
64,Male,22,BTech,CS,7.21,0,2,3,10,2,68,5,1,Startup,11.92,26.666666666666668,72.1,10,10
65,Male,20,BCA,Mechanical,9.76,1,1,0,8,9,93,0,1,Startup,6.04,36.666666666666664,92.6,1,1
66,Female,21,BTech,Mechanical,6.48,2,3,2,5,1,52,5,0,,0.0,19.333333333333332,54.80000000000001,10,10
67,Female,24,BSc,CS,6.64,2,3,1,4,1,46,1,0,,0.0,17.0,56.39999999999999,5,5
68,Male,23,BTech,Mechanical,5.72,1,2,3,9,9,50,3,0,,0.0,22.666666666666668,52.199999999999996,8,8
69,Female,22,BCA,DS,9.54,0,3,2,8,3,82,4,1,Product,11.35,31.0,95.39999999999999,9,9
70,Female,24,BE,DS,7.46,2,0,0,4,6,95,2,0,,0.0,35.0,64.6,2,2
71,Female,24,BCA,CS,8.4,1,0,2,2,3,95,5,0,,0.0,33.333333333333336,79.0,7,7
72,Female,21,BCA,DS,8.46,0,3,2,2,2,92,5,0,,0.0,32.0,84.60000000000001,10,10
73,Male,20,BCA,Electrical,9.26,0,1,1,2,3,95,3,0,,0.0,33.333333333333336,92.6,5,5
74,Female,21,BCA,Electrical,8.36,0,3,4,10,10,83,2,1,Product,13.13,34.333333333333336,83.6,9,9
75,Male,20,BCA,Electrical,7.92,3,2,0,8,4,42,4,0,,0.0,18.0,64.2,6,6
76,Female,20,BTech,AI,8.55,0,0,1,6,1,83,5,1,Startup,14.15,30.0,85.5,6,6
77,Female,24,BTech,Mechanical,8.73,0,0,1,1,3,74,3,0,,0.0,26.0,87.30000000000001,4,4
78,Female,20,BE,AI,6.3,1,1,1,10,7,40,0,0,,0.0,19.0,58.0,2,2
79,Male,22,BCA,DS,5.97,3,2,4,4,2,81,3,0,,0.0,29.0,44.699999999999996,9,9
80,Female,22,BCA,CS,5.82,0,0,4,3,7,40,5,0,,0.0,16.666666666666668,58.2,9,9
81,Male,22,BE,Electrical,7.11,2,0,3,10,4,72,5,1,Service,6.3,28.666666666666668,61.10000000000001,8,8
82,Female,24,BE,CS,7.64,3,2,3,7,7,65,0,1,Startup,7.56,26.333333333333332,61.39999999999999,5,5
83,Male,21,BSc,AI,8.15,1,1,0,10,3,82,0,1,Product,3.5,31.666666666666668,76.5,1,1
84,Female,23,BE,DS,9.62,3,3,5,5,7,87,2,1,Startup,13.79,33.0,81.19999999999999,10,10
85,Male,20,BE,Mechanical,6.92,2,1,0,1,10,42,1,0,,0.0,17.666666666666668,59.2,2,2
86,Male,23,BE,DS,8.77,3,0,4,6,7,63,1,1,Product,9.36,25.333333333333332,72.69999999999999,5,5
87,Female,21,BSc,Electrical,7.78,2,0,4,4,3,96,5,0,,0.0,34.333333333333336,67.8,9,9
88,Male,21,BTech,DS,6.45,0,1,4,10,6,74,0,0,,0.0,30.0,64.5,5,5
89,Female,24,BSc,CS,8.15,0,1,1,6,9,79,4,1,Startup,6.48,31.333333333333332,81.5,6,6
90,Female,22,BTech,IT,9.66,3,0,4,7,7,98,1,1,Product,10.97,37.333333333333336,81.6,5,5
91,Female,22,BE,Electrical,6.03,3,2,1,9,5,84,1,0,,0.0,32.666666666666664,45.300000000000004,4,4
92,Female,21,BSc,Mechanical,7.68,1,2,1,1,1,55,4,0,,0.0,19.0,71.8,7,7
93,Female,24,BSc,Electrical,5.72,1,3,0,6,8,86,2,0,,0.0,33.333333333333336,52.199999999999996,5,5
94,Female,24,BTech,Electrical,6.88,2,0,2,8,4,81,0,1,Startup,3.7,31.0,58.8,2,2
95,Female,20,BSc,Mechanical,8.17,0,0,3,4,2,88,5,0,,0.0,31.333333333333332,81.7,8,8
96,Female,22,BSc,Electrical,9.12,3,3,3,10,9,74,3,1,Product,12.7,31.0,76.19999999999999,9,9
97,Female,21,BCA,CS,8.64,0,0,0,9,3,53,3,0,,0.0,21.666666666666668,86.4,3,3
98,Female,23,BTech,DS,7.49,3,0,0,4,6,72,0,0,,0.0,27.333333333333332,59.900000000000006,0,0
99,Female,22,BSc,CS,9.41,2,1,4,4,3,97,2,0,,0.0,34.666666666666664,84.1,7,7
100,Male,20,BSc,DS,6.8,0,2,4,9,7,48,5,0,,0.0,21.333333333333332,68.0,11,11
101,Male,24,BE,IT,8.74,1,2,4,4,2,58,3,0,,0.0,21.333333333333332,82.4,9,9
102,Female,21,BCA,Electrical,7.54,2,2,1,9,4,97,5,1,Service,11.49,36.666666666666664,65.4,8,8
103,Female,22,BCA,IT,9.36,0,3,1,1,10,69,5,0,,0.0,26.666666666666668,93.6,9,9
104,Female,23,BE,AI,8.93,2,1,4,8,9,49,1,0,,0.0,22.0,79.3,6,6
105,Female,20,BE,DS,9.38,3,0,1,2,8,92,2,0,,0.0,34.0,78.80000000000001,3,3
106,Female,20,BE,CS,6.42,0,2,0,8,8,50,4,0,,0.0,22.0,64.2,6,6
107,Female,22,BE,CS,8.37,0,2,4,5,8,65,0,1,Startup,4.53,26.0,83.69999999999999,6,6
108,Female,23,BCA,Electrical,8.68,0,1,3,1,7,65,3,0,,0.0,24.333333333333332,86.8,7,7
109,Female,20,BSc,CS,8.69,1,0,3,1,6,53,0,0,,0.0,20.0,81.89999999999999,3,3
110,Male,21,BSc,AI,7.67,2,3,5,6,8,55,4,0,,0.0,23.0,66.7,12,12
111,Female,20,BE,Mechanical,5.55,1,0,1,1,7,78,3,0,,0.0,28.666666666666668,50.5,4,4
112,Male,23,BTech,CS,6.62,1,3,3,2,1,69,0,0,,0.0,24.0,61.2,6,6
113,Female,24,BE,Electrical,6.89,2,3,4,3,6,48,4,0,,0.0,19.0,58.89999999999999,11,11
114,Female,24,BSc,IT,9.16,2,0,3,2,8,52,1,0,,0.0,20.666666666666668,81.6,4,4
115,Male,22,BTech,CS,9.12,0,3,0,9,5,78,4,1,Service,3.96,30.666666666666668,91.19999999999999,7,7
116,Female,23,BE,CS,5.95,0,2,1,10,6,40,2,0,,0.0,18.666666666666668,59.5,5,5
117,Male,20,BTech,CS,9.58,2,1,3,6,2,94,2,1,Service,5.33,34.0,85.8,6,6
118,Female,20,BE,Electrical,6.28,0,2,1,9,2,78,4,0,,0.0,29.666666666666668,62.800000000000004,7,7
119,Female,24,BCA,Mechanical,7.28,3,3,0,5,2,41,5,0,,0.0,16.0,57.8,8,8
