id,job_role,country,experience_level,salary_usd,skills,company_type
1,NLP Engineer,UK,Mid,65795,"Deep Learning, PyTorch, Data Visualization",Mid-size
2,Data Analyst,Canada,Lead,172535,"Statistics, Deep Learning, Computer Vision",Enterprise
3,NLP Engineer,Germany,Senior,111962,"TensorFlow, Data Visualization, NLP",Startup
4,Data Analyst,UK,Entry,48020,"Statistics, Deep Learning, TensorFlow",Enterprise
5,Deep Learning Engineer,Canada,Mid,57676,"Data Visualization, TensorFlow, MLOps",Startup
6,Data Scientist,USA,Senior,131722,"SQL, Computer Vision, Statistics",Startup
7,Data Scientist,Canada,Senior,144577,"SQL, Statistics, MLOps",Enterprise
8,Computer Vision Engineer,India,Lead,79327,"PyTorch, Statistics, TensorFlow",Enterprise
9,Research Scientist,UK,Entry,46382,"SQL, MLOps, Python",Enterprise
10,Computer Vision Engineer,Australia,Senior,100393,"TensorFlow, SQL, Statistics",Mid-size
11,Data Scientist,Canada,Lead,158279,"PyTorch, Deep Learning, Python",Enterprise
12,Data Analyst,Canada,Entry,31721,"Computer Vision, Statistics, MLOps",Startup
13,AI Engineer,Germany,Lead,183021,"Computer Vision, MLOps, SQL",Mid-size
14,Computer Vision Engineer,UK,Entry,28433,"NLP, Deep Learning, Statistics",Mid-size
15,ML Engineer,UK,Mid,73483,"PyTorch, Data Visualization, TensorFlow",Mid-size
16,ML Engineer,Canada,Entry,40874,"Python, Statistics, MLOps",Mid-size
17,Data Scientist,Australia,Entry,23743,"Statistics, Python, SQL",Enterprise
18,AI Engineer,Canada,Senior,146930,"MLOps, NLP, PyTorch",Mid-size
19,Data Scientist,Australia,Senior,149333,"Python, MLOps, Computer Vision",Mid-size
20,Computer Vision Engineer,Canada,Senior,139771,"NLP, Python, PyTorch",Enterprise
21,Research Scientist,Germany,Entry,20995,"Deep Learning, NLP, PyTorch",Enterprise
22,Data Scientist,USA,Mid,91021,"Deep Learning, MLOps, Statistics",Mid-size
23,Data Analyst,Australia,Entry,47105,"NLP, SQL, TensorFlow",Mid-size
24,Research Scientist,Australia,Lead,177398,"TensorFlow, Deep Learning, Data Visualization",Startup
25,Computer Vision Engineer,Germany,Mid,71243,"SQL, NLP, Deep Learning",Enterprise
26,Research Scientist,India,Senior,51217,"Deep Learning, Data Visualization, Statistics",Enterprise
27,Computer Vision Engineer,Germany,Entry,48460,"Data Visualization, Deep Learning, Statistics",Startup
28,NLP Engineer,India,Mid,22103,"TensorFlow, Statistics, SQL",Startup
29,NLP Engineer,USA,Entry,24469,"Data Visualization, Statistics, MLOps",Mid-size
30,ML Engineer,Canada,Lead,211476,"Python, PyTorch, MLOps",Enterprise
31,Deep Learning Engineer,Canada,Lead,168373,"Computer Vision, Data Visualization, Python",Startup
32,ML Engineer,Canada,Senior,137744,"Data Visualization, Deep Learning, MLOps",Mid-size
33,Computer Vision Engineer,UK,Lead,150965,"TensorFlow, PyTorch, NLP",Mid-size
34,Research Scientist,UK,Entry,44538,"Python, MLOps, Data Visualization",Mid-size
35,Computer Vision Engineer,USA,Mid,76527,"SQL, Python, NLP",Startup
36,ML Engineer,Germany,Entry,37412,"MLOps, Statistics, TensorFlow",Startup
37,AI Engineer,India,Senior,44607,"Computer Vision, Deep Learning, SQL",Mid-size
38,Research Scientist,India,Lead,76006,"PyTorch, NLP, Deep Learning",Enterprise
39,AI Engineer,Australia,Senior,118955,"Statistics, MLOps, PyTorch",Enterprise
40,AI Engineer,India,Entry,11029,"Python, NLP, Deep Learning",Mid-size
41,Data Analyst,UK,Mid,83827,"Data Visualization, PyTorch, Deep Learning",Enterprise
42,AI Engineer,UK,Lead,183689,"Deep Learning, Data Visualization, Python",Mid-size
43,AI Engineer,Canada,Entry,32767,"Data Visualization, PyTorch, Deep Learning",Startup
44,Data Analyst,UK,Mid,53627,"Statistics, Deep Learning, SQL",Mid-size
45,ML Engineer,India,Lead,66442,"NLP, MLOps, Deep Learning",Startup
46,NLP Engineer,Australia,Senior,123173,"TensorFlow, Computer Vision, SQL",Mid-size
47,AI Engineer,Germany,Senior,120080,"Statistics, Python, SQL",Mid-size
48,ML Engineer,India,Senior,46900,"TensorFlow, MLOps, Deep Learning",Startup
49,Computer Vision Engineer,India,Lead,67728,"Data Visualization, Computer Vision, Statistics",Enterprise
50,Deep Learning Engineer,India,Entry,16318,"MLOps, NLP, SQL",Mid-size
51,ML Engineer,USA,Lead,177592,"TensorFlow, SQL, PyTorch",Startup
52,Data Analyst,Germany,Senior,93304,"TensorFlow, Data Visualization, PyTorch",Startup
53,Computer Vision Engineer,Australia,Entry,45777,"MLOps, NLP, SQL",Mid-size
54,Deep Learning Engineer,USA,Lead,169963,"Statistics, MLOps, Python",Startup
55,NLP Engineer,India,Lead,66694,"Python, Deep Learning, TensorFlow",Startup
56,Research Scientist,UK,Entry,48673,"TensorFlow, PyTorch, NLP",Mid-size
57,ML Engineer,Australia,Entry,22939,"Data Visualization, Computer Vision, TensorFlow",Mid-size
58,Data Analyst,Canada,Mid,78711,"Statistics, Computer Vision, TensorFlow",Startup
59,Deep Learning Engineer,Australia,Senior,135267,"Data Visualization, Deep Learning, Computer Vision",Startup
60,Deep Learning Engineer,Australia,Senior,126876,"MLOps, Deep Learning, Computer Vision",Startup
61,AI Engineer,Germany,Entry,22327,"Statistics, Deep Learning, SQL",Enterprise
62,NLP Engineer,India,Lead,66073,"PyTorch, Data Visualization, MLOps",Mid-size
63,Computer Vision Engineer,India,Entry,19139,"Deep Learning, MLOps, Data Visualization",Enterprise
64,Research Scientist,Australia,Entry,39278,"Data Visualization, Computer Vision, Statistics",Startup
65,ML Engineer,UK,Senior,124754,"Statistics, PyTorch, TensorFlow",Mid-size
66,NLP Engineer,Germany,Senior,92911,"Data Visualization, TensorFlow, MLOps",Mid-size
67,Deep Learning Engineer,Canada,Senior,120296,"Python, SQL, Data Visualization",Enterprise
68,Research Scientist,Germany,Lead,151111,"MLOps, SQL, Deep Learning",Enterprise
69,ML Engineer,Germany,Senior,98155,"Python, Computer Vision, PyTorch",Enterprise
70,Data Analyst,Canada,Lead,187336,"Statistics, TensorFlow, NLP",Startup
71,ML Engineer,Germany,Lead,181976,"PyTorch, Statistics, Deep Learning",Startup
72,ML Engineer,Canada,Lead,156253,"Data Visualization, TensorFlow, Computer Vision",Mid-size
73,Data Analyst,UK,Entry,25423,"Deep Learning, Python, PyTorch",Mid-size
74,Deep Learning Engineer,Australia,Senior,145906,"Python, Deep Learning, Statistics",Mid-size
75,Deep Learning Engineer,Australia,Senior,103948,"TensorFlow, Deep Learning, Data Visualization",Mid-size
76,ML Engineer,Canada,Lead,168161,"TensorFlow, Computer Vision, Data Visualization",Enterprise
77,AI Engineer,Canada,Mid,90982,"Statistics, Data Visualization, Computer Vision",Enterprise
78,Computer Vision Engineer,USA,Lead,187778,"PyTorch, Computer Vision, SQL",Mid-size
79,Computer Vision Engineer,UK,Entry,22200,"Python, TensorFlow, NLP",Startup
80,NLP Engineer,UK,Entry,40817,"SQL, Data Visualization, TensorFlow",Enterprise
81,ML Engineer,UK,Senior,114736,"Deep Learning, TensorFlow, PyTorch",Mid-size
82,Deep Learning Engineer,Canada,Mid,83463,"PyTorch, Deep Learning, Statistics",Mid-size
83,Data Analyst,Germany,Mid,72399,"MLOps, Statistics, PyTorch",Startup
84,Computer Vision Engineer,USA,Senior,160876,"SQL, Python, TensorFlow",Enterprise
85,NLP Engineer,UK,Senior,107429,"Deep Learning, Data Visualization, MLOps",Enterprise
86,Data Analyst,USA,Lead,172123,"NLP, Computer Vision, Data Visualization",Mid-size
87,AI Engineer,Germany,Lead,159738,"Python, Statistics, Deep Learning",Startup
88,Computer Vision Engineer,UK,Senior,129790,"TensorFlow, NLP, Data Visualization",Enterprise
89,NLP Engineer,USA,Lead,216916,"TensorFlow, Computer Vision, PyTorch",Enterprise
90,NLP Engineer,UK,Lead,180447,"Computer Vision, Python, SQL",Mid-size
91,Computer Vision Engineer,UK,Senior,133484,"PyTorch, NLP, Python",Startup
92,Computer Vision Engineer,Canada,Senior,136210,"NLP, Deep Learning, Statistics",Enterprise
