,student_id,age,cgpa,backlogs,internships,certifications,coding_skills,communication_skills,aptitude_score,projects,placed,package_lpa
student_id,1.0,-0.006389726355610236,-0.0015458341897783626,-0.009181634546509837,0.004965603668638997,0.0007622180468434755,-0.011398585899378078,0.005799032380619321,0.0056723820859188034,-0.0033201177530663996,0.0025901583096697048,0.0052533463479653075
age,-0.006389726355610236,1.0,-0.004946947653255767,0.00234865170188988,-0.0012432195623455825,0.009609545655752592,-0.005731982784660333,-0.004603737887952514,0.005833347040310019,-0.00587467491675235,-0.006672518308568737,0.00031386786123942164
cgpa,-0.0015458341897783626,-0.004946947653255767,1.0,0.0031284930985657033,-0.0004920904735649762,-0.020977140410200747,0.00534488174569567,-0.009796624124533951,-0.0075174738229356955,0.002082068238950948,0.265156792472863,0.24096436480579222
backlogs,-0.009181634546509837,0.00234865170188988,0.0031284930985657033,1.0,-0.012759636051184008,-0.015461107817991173,0.0025021998452746815,0.002891069867558672,-0.018068637754279693,-0.011206666080529762,-0.0006902911704502585,-0.00041385291791224717
internships,0.004965603668638997,-0.0012432195623455825,-0.0004920904735649762,-0.012759636051184008,1.0,0.00581006293243109,0.023873004663769664,-0.004763727357063286,0.0023076245268682525,-0.0003303070481175947,0.016561258942614482,0.018459722314205045
certifications,0.0007622180468434755,0.009609545655752592,-0.020977140410200747,-0.015461107817991173,0.00581006293243109,1.0,0.013795039140812993,-0.003132670187955523,-0.0058116702329338915,0.020117415842967546,0.006796272958631488,0.006568475900520782
coding_skills,-0.011398585899378078,-0.005731982784660333,0.00534488174569567,0.0025021998452746815,0.023873004663769664,0.013795039140812993,1.0,0.015142029490938283,-0.0007662266323201537,-0.018046796218223107,0.4626182635237608,0.41576197339369036
communication_skills,0.005799032380619321,-0.004603737887952514,-0.009796624124533951,0.002891069867558672,-0.004763727357063286,-0.003132670187955523,0.015142029490938283,1.0,-0.0046001176456941465,-0.0005779162691117067,-0.00552612506304663,-0.006915282979549262
aptitude_score,0.0056723820859188034,0.005833347040310019,-0.0075174738229356955,-0.018068637754279693,0.0023076245268682525,-0.0058116702329338915,-0.0007662266323201537,-0.0046001176456941465,1.0,-0.019943130048611788,0.39006805476211265,0.3554058374449184
projects,-0.0033201177530663996,-0.00587467491675235,0.002082068238950948,-0.011206666080529762,-0.0003303070481175947,0.020117415842967546,-0.018046796218223107,-0.0005779162691117067,-0.019943130048611788,1.0,-0.022528398746026856,-0.01911039516229025
placed,0.0025901583096697048,-0.006672518308568737,0.265156792472863,-0.0006902911704502585,0.016561258942614482,0.006796272958631488,0.4626182635237608,-0.00552612506304663,0.39006805476211265,-0.022528398746026856,1.0,0.9074536028277053
package_lpa,0.0052533463479653075,0.00031386786123942164,0.24096436480579222,-0.00041385291791224717,0.018459722314205045,0.006568475900520782,0.41576197339369036,-0.006915282979549262,0.3554058374449184,-0.01911039516229025,0.9074536028277053,1.0
